"GO.ID";"GO.colors";"GO.Terms.GOID";"GO.Terms.TERM";"Term";"Annotated";"Significant";"Expected";"classicFisher";"GO.IC"
"GO:0009066";"turquoise";"GO:0009066";"aspartate family amino acid metabolic process";"aspartate family amino acid metabolic pr...";46;3;0,6;0,02223;7,24251686960898
"GO:0009067";"turquoise";"GO:0009067";"aspartate family amino acid biosynthetic process";"aspartate family amino acid biosynthetic...";18;2;0,24;0,0228;8,27213628679014
"GO:0009072";"turquoise";"GO:0009072";"aromatic amino acid family metabolic process";"aromatic amino acid family metabolic pro...";27;2;0,35;0,04847;7,63028240061774
"GO:0009086";"turquoise";"GO:0009086";"methionine biosynthetic process";"methionine biosynthetic process";8;2;0,11;0,00454;9,18842701866429
"GO:0009251";"black";"GO:0009251";"glucan catabolic process";"glucan catabolic process";10;2;0,13;0,00718;8,78296191055613
"GO:0009268";"red";"GO:0009268";"response to pH";"response to pH";27;2;0,35;0,04847;7,83388135585898
"GO:0009308";"turquoise";"GO:0009308";"amine metabolic process";"amine metabolic process";76;7;1;5,8e-05;6,73526906719087
"GO:0009581";"red";"GO:0009581";"detection of external stimulus";"detection of external stimulus";86;4;1,13;0,02627;6,76805889001386
"GO:0009582";"red";"GO:0009582";"detection of abiotic stimulus";"detection of abiotic stimulus";86;4;1,13;0,02627;6,76805889001386
"GO:0009605";"red";"GO:0009605";"response to external stimulus";"response to external stimulus";1434;27;18,83;0,0291;3,41659656323424
"GO:0009712";"turquoise";"GO:0009712";"catechol-containing compound metabolic process";"catechol-containing compound metabolic p...";24;2;0,32;0,03909;7,93566405016892
"GO:0010035";"red";"GO:0010035";"response to inorganic substance";"response to inorganic substance";431;14;5,66;0,00145;4,84624629253761
"GO:0010038";"red";"GO:0010038";"response to metal ion";"response to metal ion";271;9;3,56;0,00912;5,43013811317819
"GO:0010044";"red";"GO:0010044";"response to aluminum ion";"response to aluminum ion";12;2;0,16;0,01035;8,78296191055613
"GO:0010447";"red";"GO:0010447";"response to acidic pH";"response to acidic pH";15;2;0,2;0,01605;8,55981835924192
"GO:0010466";"pink";"GO:0010466";"negative regulation of peptidase activity";"negative regulation of peptidase activit...";47;5;0,62;0,00035;7,3166248417627
